Categorie,Nom,Code Postal,Ville,Activite principale,Site Web,Contact
ETI,T D F TDF,69003,LYON 3EME,Telecommunications sans fil,www.tdf.fr,"[['TDF_collectivites@tdf.fr', 'toits-terrasses@tdf.\u200bfr.TDF', 'Contact_presseTDF@tdf.fr'], ['TDF_collectivites@tdf.fr'], ['toits-terrasses@tdf.\u200bfr.'], ['Contact_presseTDF@tdf.fr']]"
ETI,SOFTWAY MEDICAL SERVICES RIIS,69008,LYON 8EME,Tierce maintenance de systèmes et d applications informatiques,www.softwaymedical.fr,"[['contact@softwaymedical.fr.Contactez', 'contact@softwaymedical.fr.', 'contact@softwaymedical.fr.Téléchargement', 'rgpd@\u200bsoftwaymedical.fr'], ['contact@softwaymedical.fr.'], ['rgpd@\u200bsoftwaymedical.fr']]"
GE,SOCIETE RHODANIENNE D'INFORMATIQUE PERIPHERIQUE RIP-TESSI ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",www.societe.com,[]
GE,SOCIETE RHODANIENNE D'INFORMATIQUE PERIPHERIQUE RIP-TESSI ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",www.societe.com,[]
GE,SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR SFR,69009,LYON 9EME,Telecommunications sans fil,www.societe.com,[]
GE,SOCIETE FRANCAISE DU RADIOTELEPHONE - SFR SFR,69100,VILLEURBANNE,Telecommunications sans fil,www.societe.com,[]
GE,INFODESCA ,69002,LYON 2EME,Gestion d installations informatiques,,[]
GE,INFODESCA ,69005,LYON 5EME,Gestion d installations informatiques,,[]
PME,C.G.I.S ,69009,LYON 9EME,Programmation informatique,,[]
ETI,INFOTEL CONSEIL ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.infotel.com,"[['software@infotel.com', 'logiciels@infotel.com.', 'contact@consulting.infotel.com.'], ['software@infotel.com'], ['logiciels@infotel.com.'], ['contact@consulting.infotel.com.']]"
GE,ORANGE BUSINESS SERVICES ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.orange-business.com,[['obs.francedpo@orange.com.']]
GE,ORANGE BUSINESS SERVICES ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,www.orange-business.com,[['obs.francedpo@orange.com.']]
GE,ORANGE BUSINESS SERVICES ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.orange-business.com,[['obs.francedpo@orange.com.']]
PME,JOAONLINE ,69006,LYON 6EME,Autres activités de télécommunication,,[]
ETI,ASTEK ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,ASTEK ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
GE,ALTEN ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.alten.fr,"[['comfi@alten.fr.Service'], ['comfi@alten.fr.']]"
GE,ALTEN ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.alten.fr,"[['comfi@alten.fr.Service'], ['comfi@alten.fr.']]"
ETI,CISCO SYSTEMS FRANCE ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.cisco.com,[['sbsc-japan-enduser@cisco.com']]
PME,EPSILYON ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.epsilyon.fr,"[['contact@lyon-entreprises.\u200bcom', 'contact@epsilon-informatique.fr.'], ['contact@lyon-entreprises.\u200bcom'], ['contact@epsilon-informatique.fr.']]"
ETI,CEGEDIM ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",www.cegedim.fr,"[['aude.balleydier@cegedim.fr.', 'aude.balleydier@cegedim.\u200bfr', 'cnil@\u200bcegedim.fr', 'aude.balleydier@cegedim.frContacts'], ['aude.balleydier@cegedim.fr.'], ['aude.balleydier@cegedim.\u200bfr'], ['cnil@\u200bcegedim.fr'], ['aude.balleydier@cegedim.fr']]"
PME,DEVELOP INFORMAT APPLIQ GESTION SCIENTIF DIAGS,69100,VILLEURBANNE,Programmation informatique,,[]
PME,E.F. GESTION ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",,[]
ETI,PRODWARE SA ,69100,VILLEURBANNE,Tierce maintenance de systèmes et d applications informatiques,www.prodwaregroup.com,[]
PME,MEGASOFT RHONE ALPES ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,,[]
GE,AUSY ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.ausy.fr,"[['supportweb@ausy.com', 'communication@ausy.com', 'investors@ausy.com', 'sales@ausy.\u200bcom']]"
GE,MODIS FRANCE ,69006,LYON 6EME,Programmation informatique,www.modisfrance.fr,"[['contact@modis.com.', 'camille.dufourd@modisfrance.frRecherches'], ['contact@modis.com.'], ['camille.dufourd@modisfrance.fr']]"
GE,MODIS FRANCE ,69006,LYON 6EME,Programmation informatique,www.modisfrance.fr,"[['contact@modis.com.', 'camille.dufourd@modisfrance.frRecherches'], ['contact@modis.com.'], ['camille.dufourd@modisfrance.fr']]"
GE,MODIS FRANCE ,69100,VILLEURBANNE,Programmation informatique,www.modisfrance.fr,"[['contact@modis.com.', 'camille.dufourd@modisfrance.frRecherches'], ['contact@modis.com.'], ['camille.dufourd@modisfrance.fr']]"
GE,MODIS FRANCE ,69100,VILLEURBANNE,Programmation informatique,www.modisfrance.fr,"[['contact@modis.com.', 'camille.dufourd@modisfrance.frRecherches'], ['contact@modis.com.'], ['camille.dufourd@modisfrance.fr']]"
PME,C3RB INFORMATIQUE ,69006,LYON 6EME,Tierce maintenance de systèmes et d applications informatiques,www.c3rb.com,"[['orphee@c3rb.fr;', 'support@orpheemedia.fr.', 'support@orpheemedia.fr'], ['orphee@c3rb.fr;'], ['support@orpheemedia.fr.'], ['support@orpheemedia.fr']]"
ETI,SQLI ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.sqli.com,[]
ETI,WAVESTONE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.wavestone.com,[['contact@alterway.fr.']]
PME,BATITHEQUE ,69002,LYON 2EME,"Traitement de données, hébergement et activités connexes",,[]
ETI,GROUPAGORA SCA,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,,[]
PME,CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS CTS,69100,VILLEURBANNE,Telecommunications filaires,,[]
ETI,SMILE ,69100,VILLEURBANNE,Programmation informatique,www.smile.eu,[['contact@smile.fr']]
GE,WORLDLINE ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",,[]
PME,NOVAXIOM DEVELOPPEMENT ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.novaxiom.fr,"[['contact@novaxiom.fr', 'Contact@\u200bnovaxiom.fr.Recherches', 'Contact@novaxiom.fr', 'Contact@novaxiom.fr,'], ['contact@novaxiom.fr'], ['Contact@\u200bnovaxiom.fr.'], ['Contact@novaxiom.fr', 'Contact@novaxiom.fr,'], ['Contact@novaxiom.fr'], ['Contact@novaxiom.fr,']]"
GE,SERVICES LOGICIELS D'INTEGRATION BOURSIERE - SLIB SLIB,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69008,LYON 8EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69006,LYON 6EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous', '<mdauto@orange.fr>Comment'], ['maison.neuve@orange-business.fr.'], ['<mdauto@orange.fr>']]"
GE,ORANGE ,69002,LYON 2EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69100,VILLEURBANNE,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69004,LYON 4EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69007,LYON 7EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous', '<mdauto@orange.fr>Comment'], ['maison.neuve@orange-business.fr.'], ['<mdauto@orange.fr>']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69009,LYON 9EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Recherches'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69005,LYON 5EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69005,LYON 5EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69002,LYON 2EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous', '<mdauto@orange.fr>Joindre'], ['maison.neuve@orange-business.fr.'], ['<mdauto@orange.fr>']]"
GE,ORANGE ,69002,LYON 2EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69002,LYON 2EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69002,LYON 2EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous', '<mdauto@orange.fr>Comment'], ['maison.neuve@orange-business.fr.'], ['<mdauto@orange.fr>']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
GE,ORANGE ,69003,LYON 3EME,Telecommunications filaires,www.orange.fr,"[['maison.neuve@orange-business.fr.Contactez-nous'], ['maison.neuve@orange-business.fr.']]"
PME,MISS INFORMATIQUE MISSION INFORMATIQUE ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",,[]
GE,EURO INFORMATION DEVELOPPEMENTS EID,69001,LYON 1ER,Programmation informatique,,[]
GE,TESSI PAIEMENTS SERVICES ,69007,LYON 7EME,"Traitement de données, hébergement et activités connexes",www.tessi.eu,[]
PME,UNION TECHNOLOGIES INFORMATIQUE UTIGROUP RHONE ALPES,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,OPEN ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.open.global,[['communication@open-groupe.com.']]
PME,APITECH ,69009,LYON 9EME,Programmation informatique,www.apitech-solution.com,[['contact@viaevista.fr\u200b']]
ETI,SOLUTEC ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.solutec.fr,[['solutec@solutec.fr.']]
ETI,HELPLINE ,69007,LYON 7EME,Gestion d installations informatiques,www.helpline.fr,"[['recrut@helpline.fr.FAQ'], ['recrut@helpline.fr.']]"
GE,TESSI TECHNOLOGIES ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.tessi.eu,[]
GE,TESSI TECHNOLOGIES ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.tessi.eu,[]
PME,ACTION COMMUNICATION FILIERE ELECTRIQUE ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",,[]
PME,OPTIMMO ,69009,LYON 9EME,Programmation informatique,www.optimmo.fr,"[['support@optimmo.fr', 'info@optimmo.frNos', 'info@optimmo.fr.', 'contact@optimmo-gestion.fr', 'jmc@optimmo971.com;'], ['support@optimmo.fr'], ['info@optimmo.fr'], ['info@optimmo.fr.'], ['contact@optimmo-gestion.fr'], ['jmc@optimmo971.com;']]"
ETI,PARTENOR ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.partenorgroup.com,"[['communication@partenorgroup', 'contact@partenorgroup.com', 'contact@partenordigital.com', 'recrutement@\u200bpartenorgroup.com.PARTENOR', 'contact@partenordigital.com.'], ['communication@partenorgroup'], ['contact@partenorgroup.com'], ['contact@partenordigital.com'], ['recrutement@\u200bpartenorgroup.com.'], ['contact@partenordigital.com.']]"
PME,JYC INFORMATIQUE ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",,[]
PME,JYC INFORMATIQUE ,69003,LYON 3EME,"Traitement de données, hébergement et activités connexes",,[]
GE,TESSI DIGITAL SERVICES ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.tessi.eu,[]
PME,ARAWAK ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.arawak.fr,"[['contact@arawak.fr\u200b', 'contact@arawak.fr', 'contact@arawak.fr.Recherches', 'contact@arawak.fr.Gestion', 'contact@arawak.fr.'], ['contact@arawak.fr\u200b'], ['contact@arawak.fr'], ['contact@arawak.fr.']]"
ETI,SOFT MAINT SA ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,,[]
PME,GBI ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.gbi-com.fr,[]
PME,COMPTA INFORMATIQUE SERVICES ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",www.compta-online.com,[[]]
GE,GFI INFORMATIQUE ,69005,LYON 5EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,CELAD ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.celad.com,"[['contact@celad.com.', 'contact@celad.com', 'info-us@celad.com', 'celad-hrus@celad.com.'], ['contact@celad.com.'], ['contact@celad.com'], ['info-us@celad.com', 'celad-hrus@celad.com.']]"
PME,SCES ETUDES REALIS INSTAL AGENCEM LYONNA SERIAL,69001,LYON 1ER,Conseil en systèmes et logiciels informatiques,,[]
PME,PILOT INFORMATION SYSTEM ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,,[]
PME,INIT 5 ,69003,LYON 3EME,Programmation informatique,www.init5.fr,"[['arnaud@init5.fr', 'contact@lesphinx-developpement.fr.'], ['arnaud@init5.fr'], ['contact@lesphinx-developpement.fr.']]"
PME,K-LOGIC ,69004,LYON 4EME,Programmation informatique,,[]
PME,GREF ,69006,LYON 6EME,Programmation informatique,www.gref-bretagne.com,[]
PME,CORUS ,69100,VILLEURBANNE,"Traitement de données, hébergement et activités connexes",www.corus.fr,[]
PME,DM CONSULTANTS ,69004,LYON 4EME,Conseil en systèmes et logiciels informatiques,www.dmconsultants.fr,"[['contact@dmconsultants.frDM', 'contactcontact@dmconsultants.eu', 'info@atdo.fr.', 'dmconsultants@orange.fr.'], ['contact@dmconsultants.fr'], ['contactcontact@dmconsultants.eu'], ['contact@dmconsultants.eu'], ['info@atdo.fr.'], ['dmconsultants@orange.fr.']]"
PME,TSI INFORMATIQUE ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,www.tsi-informatique.fr,"[['contact@tsi-informatique.fr.', 'contact@tsi-informatique.fr.TSI'], ['contact@tsi-informatique.fr.']]"
ETI,TRSB DIGIWIN ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.trsb.net,"[['accueil.hoche@trsb.net', 'dpo@trsb.net.TRSb'], ['accueil.hoche@trsb.net'], ['dpo@trsb.net.']]"
GE,FIDUCIAL FR ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,www.fiducial.fr,[]
PME,ON-X GROUPE ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.on-x.com,"[['contact@on-x.com.', 'contact@on-x.com.Clients'], ['contact@on-x.com.']]"
PME,INFORMATIQUE ET LOGISTIQUE CONSEIL ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,,[]
PME,DEVELOPPEMENT CONCEPT INFORMAT TELEMAT DECITEL,69007,LYON 7EME,Programmation informatique,,[]
PME,INTERPEC FRANCE ,69003,LYON 3EME,Programmation informatique,www.interpec-france.com,[]
PME,INFOCOSME ,69006,LYON 6EME,Programmation informatique,www.infocosme.com,"[['contacts@infocosme.com.', 'contact@lyon-entreprises.\u200bcom', 'contacts@infocosme.com'], ['contacts@infocosme.com.'], ['contact@lyon-entreprises.\u200bcom'], ['contacts@infocosme.com']]"
PME,LMBA ,69003,LYON 3EME,Programmation informatique,www.lmba-math.fr,"[['secretariat-ubo@lmba-\u200bmath.fr', 'secretariat-ubo@lmba-math.fr>.', '<secretariat-ubo@lmba-\u200bmath.fr>.', 'Nom@univ-ubs.fr', 'contact\u200b@agence-maths-entreprises.fr', 'quansheng.liu@univ-ubs.fr.'], ['secretariat-ubo@lmba-\u200bmath.fr', 'secretariat-ubo@lmba-math.fr>.'], ['<secretariat-ubo@lmba-\u200bmath.fr>.'], ['Nom@univ-ubs.fr'], ['contact\u200b@agence-maths-entreprises.fr'], ['quansheng.liu@univ-ubs.fr.']]"
PME,AXDANE ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,M.A.T.I. LAN ,69003,LYON 3EME,Gestion d installations informatiques,,[]
ETI,CS GROUP - FRANCE ,69006,LYON 6EME,Conseil en systèmes et logiciels informatiques,www.cs-recrute.fr,"[['communication.cs@c-s.fr.Pascale'], ['communication.cs@c-s.fr.']]"
ETI,CS GROUP - FRANCE ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,www.cs-recrute.fr,"[['communication.cs@c-s.fr.', 'communication.cs@c-s.fr.EDF'], ['communication.cs@c-s.fr.']]"
ETI,SN ACI ,69009,LYON 9EME,Gestion d installations informatiques,,[]
PME,IDS ,69001,LYON 1ER,Programmation informatique,www.ids-france.net,"[['ids.sa@idsfrance.\u200bcom.Caillebotis', 'id-groupids@ids-france.net'], ['ids.sa@idsfrance.\u200bcom.'], ['id-groupids@ids-france.net'], ['ids@ids-france.net']]"
GE,EXPERIS FRANCE ,69003,LYON 3EME,Gestion d installations informatiques,www.experis-executive.fr,"[['contact@experis-executive.fr.CGU', 'contact@experis-\u200bexecutive.fr.', 'recrutement@experis-executive\u200b.fr', 'hello@dream-theme.com;'], ['contact@experis-executive.fr.'], ['contact@experis-\u200bexecutive.fr.'], ['recrutement@experis-executive\u200b.fr'], ['hello@dream-theme.com;']]"
PME,ASSOCIATION CLUB INFOGRAMES ,69100,VILLEURBANNE,Conseil en systèmes et logiciels informatiques,,[]
GE,BOUYGUES TELECOM ,69003,LYON 3EME,Telecommunications sans fil,www.bouyguestelecom.fr,[]
GE,BOUYGUES TELECOM ,69003,LYON 3EME,Telecommunications sans fil,www.bouyguestelecom.fr,[]
ETI,EI-TECHNOLOGIES FRANCE ,69002,LYON 2EME,Conseil en systèmes et logiciels informatiques,www.ei-technologies.com,"[['contact@ei-technologies\u200b.com.Conseil', 'contact@ei-technologies.com.Business'], ['contact@ei-technologies\u200b.com.'], ['contact@ei-technologies.com.']]"
PME,AIGA ,69009,LYON 9EME,Tierce maintenance de systèmes et d applications informatiques,www.aiga.fr,"[['aiga@aiga.fr', 'aiga@aiga.fr.Espace'], ['aiga@aiga.fr'], ['aiga@aiga.fr.']]"
ETI,NORSYS SAS ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.norsys.fr,"[['rgpd@norsys.fr;', 'direction_nrn@norsys.fr.', 'mbuinet@norsys.fr.', 'Direction_nrse@norsys.fr.', 'Direction_npif@norsys.fr.', 'directionncl@norsys.fr.', 'directionnrca@norsys.fr.les'], ['rgpd@norsys.fr;'], ['direction_nrn@norsys.fr.'], ['mbuinet@norsys.fr.'], ['Direction_nrse@norsys.fr.'], ['Direction_npif@norsys.fr.'], ['directionncl@norsys.fr.'], ['directionnrca@norsys.fr.']]"
ETI,VERIZON FRANCE ,69100,VILLEURBANNE,Telecommunications filaires,www.verizonconnect.com,[]
PME,CTRE ETUDES DEVELOP INFORMATIQ BATIMENT CEDIB,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,,[]
PME,VATIS ,69009,LYON 9EME,Conseil en systèmes et logiciels informatiques,,[]
ETI,ASTEK PROJETS ET OFFRES ,69007,LYON 7EME,Conseil en systèmes et logiciels informatiques,,[]
PME,SG CONSULT ,69003,LYON 3EME,Conseil en systèmes et logiciels informatiques,www.sg-consult.com,"[['contact@sg-consult.com\u200b', 'contact@sg-consult.com', 'contact@sg-consult.com.'], ['contact@sg-consult.com\u200b'], ['contact@sg-consult.com'], ['contact@sg-consult.com.']]"
